"BaseThick","FinThick","FinHeight","BaseMaterial","FinMaterial","FanType","MeanTemp"
2.8,4,22,"Steel","Silver","Exhaust",107.117
2.6,3.4,22,"Steel","Silver","Exhaust",96.4538
2.8,4.8,24,"Steel","Silver","Exhaust",98.6553
2.6,4.4,28,"Steel","Silver","Exhaust",86.6002
2.4,4.4,20,"Steel","Silver","Exhaust",108.094
2.2,5,34,"Steel","Silver","Exhaust",74.6195
2.8,3.4,32,"Steel","Silver","Exhaust",75.8777
3,4.4,34,"Steel","Silver","Exhaust",78.329
2.8,3.4,16,"Steel","Silver","Exhaust",118.051
3,4.6,18,"Steel","Silver","Exhaust",121.171
2.2,3.6,30,"Steel","Silver","Exhaust",77.8334
2.6,4.2,20,"Steel","Silver","Intake",106.548
2.2,3.2,28,"Steel","Silver","Intake",81.859
2.4,4,18,"Steel","Silver","Intake",113.892
3,3.8,30,"Steel","Silver","Intake",76.166
2.2,4.8,26,"Steel","Silver","Intake",87.0122
2.8,4,22,"Steel","Silver","Intake",106.856
2.6,3.4,22,"Steel","Silver","Intake",93.8807
2.8,4.8,24,"Steel","Silver","Intake",96.7015
2.6,4.4,28,"Steel","Silver","Intake",84.7552
2.4,4.4,20,"Steel","Silver","Intake",105.545
2.2,5,34,"Steel","Silver","Intake",73.0458
2.8,3.4,32,"Steel","Silver","Intake",73.9985
3,4.4,34,"Steel","Silver","Intake",78.0201
2.8,3.4,16,"Steel","Silver","Intake",114.769
3,4.6,18,"Steel","Silver","Intake",119.876
2.2,3.6,30,"Steel","Silver","Intake",75.828
2.6,4.2,20,"Steel","Brass","Exhaust",108.949
2.2,3.2,28,"Steel","Brass","Exhaust",83.7846
2.4,4,18,"Steel","Brass","Exhaust",116.018
3,3.8,30,"Steel","Brass","Exhaust",77.8617
2.2,4.8,26,"Steel","Brass","Exhaust",89.2721
2.8,4,22,"Steel","Brass","Exhaust",107.163
2.6,3.4,22,"Steel","Brass","Exhaust",96.5089
2.8,4.8,24,"Steel","Brass","Exhaust",98.6999
2.6,4.4,28,"Steel","Brass","Exhaust",86.6571
2.4,4.4,20,"Steel","Brass","Exhaust",108.134
2.2,5,34,"Steel","Brass","Exhaust",74.6824
2.8,3.4,32,"Steel","Brass","Exhaust",75.9583
3,4.4,34,"Steel","Brass","Exhaust",78.3962
2.8,3.4,16,"Steel","Brass","Exhaust",118.091
3,4.6,18,"Steel","Brass","Exhaust",121.205
2.2,3.6,30,"Steel","Brass","Exhaust",77.9065
2.6,4.2,20,"Steel","Brass","Intake",106.592
2.2,3.2,28,"Steel","Brass","Intake",81.9331
2.4,4,18,"Steel","Brass","Intake",113.933
3,3.8,30,"Steel","Brass","Intake",76.2359
2.2,4.8,26,"Steel","Brass","Intake",87.0642
2.8,4,22,"Steel","Brass","Intake",106.905
2.6,3.4,22,"Steel","Brass","Intake",93.936
2.8,4.8,24,"Steel","Brass","Intake",96.7485
2.6,4.4,28,"Steel","Brass","Intake",84.8147
2.4,4.4,20,"Steel","Brass","Intake",105.588
2.2,5,34,"Steel","Brass","Intake",73.1111
2.8,3.4,32,"Steel","Brass","Intake",74.0792
3,4.4,34,"Steel","Brass","Intake",78.0896
2.8,3.4,16,"Steel","Brass","Intake",114.809
3,4.6,18,"Steel","Brass","Intake",119.912
2.2,3.6,30,"Steel","Brass","Intake",75.9016
2.6,4.2,20,"Steel","Aluminum","Exhaust",109.823
2.2,3.2,28,"Steel","Aluminum","Exhaust",85.3175
2.4,4,18,"Steel","Aluminum","Exhaust",116.826
3,3.8,30,"Steel","Aluminum","Exhaust",79.31
2.2,4.8,26,"Steel","Aluminum","Exhaust",90.3116
2.8,4,22,"Steel","Aluminum","Exhaust",108.13
2.6,3.4,22,"Steel","Aluminum","Exhaust",97.6672
2.8,4.8,24,"Steel","Aluminum","Exhaust",99.6378
2.6,4.4,28,"Steel","Aluminum","Exhaust",87.8503
2.4,4.4,20,"Steel","Aluminum","Exhaust",108.982
2.2,5,34,"Steel","Aluminum","Exhaust",76.0023
2.8,3.4,32,"Steel","Aluminum","Exhaust",77.6435
3,4.4,34,"Steel","Aluminum","Exhaust",79.8055
2.8,3.4,16,"Steel","Aluminum","Exhaust",118.932
3,4.6,18,"Steel","Aluminum","Exhaust",121.925
2.2,3.6,30,"Steel","Aluminum","Exhaust",79.4354
2.6,4.2,20,"Steel","Aluminum","Intake",107.523
2.2,3.2,28,"Steel","Aluminum","Intake",83.485
2.4,4,18,"Steel","Aluminum","Intake",114.803
3,3.8,30,"Steel","Aluminum","Intake",77.7004
2.2,4.8,26,"Steel","Aluminum","Intake",88.1572
2.8,4,22,"Steel","Aluminum","Intake",107.946
2.6,3.4,22,"Steel","Aluminum","Intake",95.0997
2.8,4.8,24,"Steel","Aluminum","Intake",97.7388
2.6,4.4,28,"Steel","Aluminum","Intake",86.0629
2.4,4.4,20,"Steel","Aluminum","Intake",106.491
2.2,5,34,"Steel","Aluminum","Intake",74.48
2.8,3.4,32,"Steel","Aluminum","Intake",75.7674
3,4.4,34,"Steel","Aluminum","Intake",79.5493
2.8,3.4,16,"Steel","Aluminum","Intake",115.648
3,4.6,18,"Steel","Aluminum","Intake",120.688
2.2,3.6,30,"Steel","Aluminum","Intake",77.4411
